date_posted,review_count
2018-01-01,13
2018-01-02,20
2018-01-03,20
2018-01-04,24
2018-01-05,29
2018-01-06,21
2018-01-07,21
2018-01-08,31
2018-01-09,22
2018-01-10,73
2018-01-11,47
2018-01-12,30
2018-01-13,18
2018-01-14,21
2018-01-15,23
2018-01-16,29
2018-01-17,33
2018-01-18,25
2018-01-19,19
2018-01-20,24
2018-01-21,19
2018-01-22,17
2018-01-23,15
2018-01-24,15
2018-01-25,28
2018-01-26,34
2018-01-27,11
2018-01-28,20
2018-01-29,25
2018-01-30,29
2018-01-31,25
2018-02-01,18
2018-02-02,16
2018-02-03,20
2018-02-04,15
2018-02-05,15
2018-02-06,25
2018-02-07,26
2018-02-08,17
2018-02-09,17
2018-02-10,11
2018-02-11,18
2018-02-12,22
2018-02-13,28
2018-02-14,27
2018-02-15,25
2018-02-16,18
2018-02-17,13
2018-02-18,15
2018-02-19,21
2018-02-20,24
2018-02-21,25
2018-02-22,19
2018-02-23,16
2018-02-24,17
2018-02-25,23
2018-02-26,23
2018-02-27,28
2018-02-28,23
2018-03-01,25
2018-03-02,21
2018-03-03,15
2018-03-04,24
2018-03-05,16
2018-03-06,13
2018-03-07,21
2018-03-08,16
2018-03-09,18
2018-03-10,12
2018-03-11,15
2018-03-12,14
2018-03-13,18
2018-03-14,18
2018-03-15,9
2018-03-16,14
2018-03-17,17
2018-03-18,11
2018-03-19,19
2018-03-20,22
2018-03-21,14
2018-03-22,20
2018-03-23,15
2018-03-24,14
2018-03-25,9
2018-03-26,26
2018-03-27,19
2018-03-28,20
2018-03-29,25
2018-03-30,16
2018-03-31,10
2018-04-01,17
2018-04-02,14
2018-04-03,16
2018-04-04,27
2018-04-05,19
2018-04-06,16
2018-04-07,9
2018-04-08,25
2018-04-09,29
2018-04-10,20
2018-04-11,20
2018-04-12,17
2018-04-13,10
2018-04-14,14
2018-04-15,14
2018-04-16,20
2018-04-17,15
2018-04-18,21
2018-04-19,13
2018-04-20,16
2018-04-21,16
2018-04-22,14
2018-04-23,16
2018-04-24,22
2018-04-25,18
2018-04-26,15
2018-04-27,8
2018-04-28,13
2018-04-29,18
2018-04-30,17
2018-05-01,12
2018-05-02,16
2018-05-03,14
2018-05-04,9
2018-05-05,18
2018-05-06,5
2018-05-07,13
2018-05-08,15
2018-05-09,8
2018-05-10,13
2018-05-11,14
2018-05-12,9
2018-05-13,6
2018-05-14,14
2018-05-15,12
2018-05-16,9
2018-05-17,15
2018-05-18,13
2018-05-19,5
2018-05-20,8
2018-05-21,9
2018-05-22,13
2018-05-23,7
2018-05-24,8
2018-05-25,9
2018-05-26,9
2018-05-27,6
2018-05-28,11
2018-05-29,11
2018-05-30,17
2018-05-31,19
2018-06-01,13
2018-06-02,7
2018-06-03,9
2018-06-04,12
2018-06-05,9
2018-06-06,13
2018-06-07,8
2018-06-08,10
2018-06-09,11
2018-06-10,13
2018-06-11,7
2018-06-12,15
2018-06-13,15
2018-06-14,8
2018-06-15,11
2018-06-16,5
2018-06-17,7
2018-06-18,5
2018-06-19,6
2018-06-20,10
2018-06-21,9
2018-06-22,11
2018-06-23,11
2018-06-24,20
2018-06-25,16
2018-06-26,11
2018-06-27,9
2018-06-28,9
2018-06-29,6
2018-06-30,5
2018-07-01,18
2018-07-02,9
2018-07-03,3
2018-07-04,9
2018-07-05,18
2018-07-06,15
2018-07-07,7
2018-07-08,7
2018-07-09,2
2018-07-10,14
2018-07-11,7
2018-07-12,4
2018-07-13,8
2018-07-14,9
2018-07-15,2
2018-07-16,7
2018-07-17,9
2018-07-18,9
2018-07-19,3
2018-07-20,5
2018-07-21,3
2018-07-22,8
2018-07-23,4
2018-07-24,9
2018-07-25,14
2018-07-26,6
2018-07-27,13
2018-07-28,12
2018-07-29,7
2018-07-30,13
2018-07-31,12
2018-08-01,20
2018-08-02,15
2018-08-03,9
2018-08-04,6
2018-08-05,7
2018-08-06,13
2018-08-07,10
2018-08-08,20
2018-08-09,13
2018-08-10,13
2018-08-11,13
2018-08-12,7
2018-08-13,10
2018-08-14,15
2018-08-15,11
2018-08-16,8
2018-08-17,4
2018-08-18,8
2018-08-19,7
2018-08-20,13
2018-08-21,16
2018-08-22,18
2018-08-23,11
2018-08-24,6
2018-08-25,12
2018-08-26,4
2018-08-27,11
2018-08-28,8
2018-08-29,8
2018-08-30,8
2018-08-31,10
2018-09-01,7
2018-09-02,7
2018-09-03,10
2018-09-04,14
2018-09-05,17
2018-09-06,7
2018-09-07,5
2018-09-08,12
2018-09-09,10
2018-09-10,9
2018-09-11,13
2018-09-12,13
2018-09-13,7
2018-09-14,9
2018-09-15,9
2018-09-16,12
2018-09-17,13
2018-09-18,18
2018-09-19,20
2018-09-20,18
2018-09-21,16
2018-09-22,5
2018-09-23,8
2018-09-24,8
2018-09-25,5
2018-09-26,16
2018-09-27,21
2018-09-28,10
2018-09-29,12
2018-09-30,10
2018-10-01,12
2018-10-02,17
2018-10-03,13
2018-10-04,15
2018-10-05,14
2018-10-06,16
2018-10-07,15
2018-10-08,14
2018-10-09,18
2018-10-10,13
2018-10-11,21
2018-10-12,19
2018-10-13,19
2018-10-14,11
2018-10-15,23
2018-10-16,20
2018-10-17,20
2018-10-18,19
2018-10-19,16
2018-10-20,22
2018-10-21,16
2018-10-22,14
2018-10-23,22
2018-10-24,26
2018-10-25,27
2018-10-26,26
2018-10-27,35
2018-10-28,16
2018-10-29,26
2018-10-30,25
2018-10-31,22
2018-11-01,22
2018-11-02,22
2018-11-03,17
2018-11-04,21
2018-11-05,30
2018-11-06,35
2018-11-07,20
2018-11-08,17
2018-11-09,23
2018-11-10,22
2018-11-11,18
2018-11-12,15
2018-11-13,14
2018-11-14,26
2018-11-15,22
2018-11-16,23
2018-11-17,23
2018-11-18,24
2018-11-19,21
2018-11-20,27
2018-11-21,17
2018-11-22,15
2018-11-23,17
2018-11-24,29
2018-11-25,15
2018-11-26,21
2018-11-27,27
2018-11-28,32
2018-11-29,32
2018-11-30,24
2018-12-01,12
2018-12-02,16
2018-12-03,37
2018-12-04,18
2018-12-05,19
2018-12-06,27
2018-12-07,27
2018-12-08,26
2018-12-09,25
2018-12-10,31
2018-12-11,28
2018-12-12,32
2018-12-13,22
2018-12-14,23
2018-12-15,22
2018-12-16,26
2018-12-17,26
2018-12-18,23
2018-12-19,32
2018-12-20,22
2018-12-21,26
2018-12-22,25
2018-12-23,28
2018-12-24,28
2018-12-25,18
